Concelho,lat,lon,time,thetao,heatspot_lat,heatspot_lon,geometry,nome_praia,min,max,min2,max2
Tavira,37.08582000000007,-7.661449999999945,2026-08-15T20:00:00Z,22.0080005703494,37.08333,-7.66666651,"c(-7.66144999999995, 37.0858200000001)",Barril (Tavira),17.92548937336185,22.66097999524753,15.55774406241901,25.028725306190367
Santa Cruz da Graciosa,39.051120000000026,-27.970939999999928,2026-08-15T20:00:00Z,26.2152938842773,36.83334,-28,"c(-27.9709399999999, 39.05112)",Barro Vermelho (Santa Cruz da Graciosa),22.769187216006063,24.25972252735829,22.023919560329947,25.004990183034405
Lagos,37.09797000000003,-8.667769999999962,2026-08-15T20:00:00Z,18.5160004044883,37.08333,-8.66666698,"c(-8.66776999999996, 37.09797)",Batata (Lagos),16.214611793780296,19.951259663712538,14.346287858814174,21.819583598678662
Espinho,41.008890000000065,-8.646939999999972,2026-08-15T20:00:00Z,19.3580004444811,41,-8.63888931,"c(-8.64693999999997, 41.0088900000001)",Baía (Espinho),16.236385740691738,19.53640811192401,14.5863745550756,21.186419297540148
Angra do Heroísmo,38.64665000000008,-27.112819999999942,2026-08-15T20:00:00Z,18.2690003927564,38.63889,-9.25,"c(-27.1128199999999, 38.6466500000001)",Baía do Refugo (Angra do Heroísmo),22.669751192431598,24.182482539953696,21.913385518670545,24.93884821371475
Póvoa de Varzim,41.38786900000008,-8.775086999999928,2026-08-15T20:00:00Z,16.9490003300598,41.38889,-8.77777767,"c(-8.77508699999993, 41.3878690000001)",Beijinhos (Póvoa de Varzim),15.137860442260331,18.361249394315244,13.526165966232874,19.972943870342704
Almada,38.59582300000005,-9.208353999999929,2026-08-15T20:00:00Z,18.449000401306,38.58333,-9.22222233,"c(-9.20835399999993, 38.5958230000001)",Bela Vista (Almada),16.412893281483946,18.354311442909122,15.44218420077136,19.32502052362171
Albufeira,37.09062000000006,-8.18340999999998,2026-08-15T20:00:00Z,20.1390004815767,37.08333,-8.19444466,"c(-8.18340999999998, 37.0906200000001)",Belharucas (Albufeira),17.215694489129532,21.35524030098847,15.145921583200066,23.42501320691794
Vila do Bispo,37.02529000000004,-8.964109999999948,2026-08-15T20:00:00Z,17.9660003783647,37.02778,-8.97222233,"c(-8.96410999999995, 37.02529)",Beliche (Vila do Bispo),15.690262630385208,19.322100151629247,13.874343869763187,21.13801891225127
Lagoa,37.087150000000065,-8.426359999999931,2026-08-15T20:00:00Z,19.3330004432937,37.08333,-8.41666698,"c(-8.42635999999993, 37.0871500000001)",Benagil (Lagoa),16.667652431124054,20.66642023128064,14.668268531045758,22.665804131358936
Sesimbra,38.46360100000004,-9.19353099999995,2026-08-15T20:00:00Z,18.4070003993111,38.47222,-9.19444466,"c(-9.19353099999995, 38.463601)",Bicas (Sesimbra),16.105895531207995,18.473760333702263,14.921963129960865,19.657692734949393
