nome_praia,geometry,Concelho,nome_praia_final
Saúde,"c(-9.22903699999995, 38.6289770000001)",Almada,Saúde (Almada)
Mata,"c(-9.22447299999993, 38.6231100000001)",Almada,Mata (Almada)
Riviera,"c(-9.22171499999996, 38.6187160000001)",Almada,Riviera (Almada)
Rainha (Almada),"c(-9.21939299999997, 38.615554)",Almada,Rainha (Almada)
Castelo (Almada),"c(-9.21721399999996, 38.612921)",Almada,Castelo (Almada)
Fajã,"c(-28.7560099999999, 38.6102000000001)",Horta,Fajã (Horta)
Cabana do Pescador,"c(-9.21505599999995, 38.608823)",Almada,Cabana do Pescador (Almada)
Portinhos-Fajã Grande,"c(-28.03462, 38.6067400000001)",Calheta,Portinhos-Fajã Grande (Calheta)
Rei,"c(-9.21335899999997, 38.606073)",Almada,Rei (Almada)
Morena,"c(-9.21200799999997, 38.6029970000001)",Almada,Morena (Almada)
Sereia,"c(-9.21094899999997, 38.601365)",Almada,Sereia (Almada)
Infante,"c(-9.21042499999993, 38.5996930000001)",Almada,Infante (Almada)
Nova Vaga,"c(-9.20936499999993, 38.5977330000001)",Almada,Nova Vaga (Almada)
Bela Vista,"c(-9.20835399999993, 38.5958230000001)",Almada,Bela Vista (Almada)
Fonte da Telha Norte,"c(-9.20004499999993, 38.579081)",Almada,Fonte da Telha Norte (Almada)
Fonte da Telha Centro,"c(-9.19581899999997, 38.571829)",Almada,Fonte da Telha Centro (Almada)
Varadouro,"c(-28.77529, 38.5642700000001)",Horta,Varadouro (Horta)
Fonte da Telha Sul,"c(-9.19210699999996, 38.562977)",Almada,Fonte da Telha Sul (Almada)
Arcos,"c(-28.40876, 38.56032)",São Roque do Pico,Arcos (São Roque do Pico)
Cais Mourato,"c(-28.4814299999999, 38.55868)",Madalena,Cais Mourato (Madalena)
Almoxarife,"c(-28.609752, 38.555638)",Horta,Almoxarife (Horta)
Barca,"c(-28.52084, 38.5434500000001)",Madalena,Barca (Madalena)
Conceição,"c(-28.6190599999999, 38.5428600000001)",Horta,Conceição (Horta)
Furna de Santo António,"c(-28.33561, 38.53558)",São Roque do Pico,Furna de Santo António (São Roque do Pico)
Madalena,"c(-28.5344899999999, 38.5340100000001)",Madalena,Madalena (Madalena)
Porto Pim,"c(-28.6258799999999, 38.52455)",Horta,Porto Pim (Horta)
Piscina do Cais,"c(-28.31659, 38.52455)",São Roque do Pico,Piscina do Cais (São Roque do Pico)
Poças de São Roque,"c(-28.30497, 38.51935)",São Roque do Pico,Poças de São Roque (São Roque do Pico)
Castelo Branco,"c(-28.7261099999999, 38.5184)",Horta,Castelo Branco (Horta)
Albarquel,"c(-8.91452899999996, 38.5112300000001)",Setúbal,Albarquel (Setúbal)
Lagoa de Albufeira,"c(-9.17669599999994, 38.508967)",Sesimbra,Lagoa de Albufeira (Sesimbra)
Lagoa de Albufeira-Mar,"c(-9.18337099999997, 38.506473)",Sesimbra,Lagoa de Albufeira-Mar (Sesimbra)
Criação Velha,"c(-28.54133, 38.50501)",Madalena,Criação Velha (Madalena)
Pocinho,"c(-28.5396299999999, 38.4956)",Madalena,Pocinho (Madalena)
Tróia - Mar,"c(-8.90654099999995, 38.49193)",Grândola,Tróia - Mar (Grândola)
Moinho de Baixo-Meco,"c(-9.18458299999998, 38.489692)",Sesimbra,Moinho de Baixo-Meco (Sesimbra)
Figueirinha,"c(-8.94518999999997, 38.484787)",Madalena,Figueirinha (Madalena)
Tróia - Galé,"c(-8.90402299999994, 38.484632)",Grândola,Tróia - Galé (Grândola)
Galapos,"c(-8.96464099999997, 38.4846230000001)",Setúbal,Galapos (Setúbal)
Galapinhos,"c(-8.96884699999993, 38.48377)",Setúbal,Galapinhos (Setúbal)
Tróia - Bico das Lulas,"c(-8.89827199999996, 38.4810160000001)",Grândola,Tróia - Bico das Lulas (Grândola)
Portinho da Arrábida,"c(-8.97763799999996, 38.4806540000001)",Setúbal,Portinho da Arrábida (Setúbal)
Poça Branca,"c(-28.20528, 38.4777800000001)",São Roque do Pico,Poça Branca (São Roque do Pico)
Bicas,"c(-9.19353099999995, 38.463601)",Sesimbra,Bicas (Sesimbra)
Camarinhas,"c(-8.87901299999993, 38.463108)",Grândola,Camarinhas (Grândola)
Caisinho,"c(-28.15156, 38.4567000000001)",São Roque do Pico,Caisinho (São Roque do Pico)
Atlântica,"c(-8.86237299999993, 38.4524520000001)",Grândola,Atlântica (Grândola)
Ouro,"c(-9.10664999999995, 38.4430760000001)",Sesimbra,Ouro (Sesimbra)
Califórnia,"c(-9.09905899999995, 38.4423780000001)",Sesimbra,Califórnia (Sesimbra)
Calhau,"c(-28.05558, 38.4389840000001)",Lajes do Pico,Calhau (Lajes do Pico)
São Mateus,"c(-28.46104, 38.43078)",Madalena,São Mateus (Madalena)
Baixas,"c(-28.3851299999999, 38.4185400000001)",Madalena,Baixas (Madalena)
Verdoso,"c(-28.339961, 38.413552)",Lajes do Pico,Verdoso (Lajes do Pico)
Fonte,"c(-28.289373, 38.41225)",Lajes do Pico,Fonte (Lajes do Pico)
Manhenha,"c(-28.036597, 38.4108360000001)",Lajes do Pico,Manhenha (Lajes do Pico)
Pontes,"c(-28.15955, 38.4073300000001)",Lajes do Pico,Pontes (Lajes do Pico)
Santa Cruz das Ribeiras,"c(-28.1869389999999, 38.4043510000001)",Lajes do Pico,Santa Cruz das Ribeiras (Lajes do Pico)
Poça das Mujas,"c(-28.08311, 38.39962)",Lajes do Pico,Poça das Mujas (Lajes do Pico)
Clube Naval Das Lajes,"c(-28.253598, 38.3983020000001)",Lajes do Pico,Clube Naval Das Lajes (Lajes do Pico)
Lajes (Maré),"c(-28.25182, 38.3909400000001)",Lajes do Pico,Lajes - Maré (Lajes do Pico)
Comporta,"c(-8.80259799999993, 38.381442)",Grândola,Comporta (Grândola)
